venue_key,pub_name,place_name,postcode,pin_type,current_lat,current_lng,current_source,camra_lat,camra_lng,camra_url,fsa_name,fsa_address,fsa_lat,fsa_lng,fsa_url,current_to_fsa_metres,camra_to_fsa_metres,postcode_to_fsa_metres,fsa_status,checked_at
mushroom hall|albert village|de11 8en,Mushroom Hall,Albert Village,DE11 8EN,venue,52.7600976,-1.5504387,google-maps-named-place,,,,The Mushroom Hall,"Mushroom Hall, Main Street, Albert Village, Swadlincote, DE11 8EN",52.761853,-1.55183,https://api.ratings.food.gov.uk/Establishments?address=DE11+8EN&pageSize=100&pageNumber=1,216.5,,4.6,unique_name_and_postcode_match,2026-09-11
blue dog|sewstern|ng33 5rg,Blue Dog,Sewstern,NG33 5RG,venue,52.7862037,-0.6840474,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=NG33+5RG&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
lancaster inn|woodhall spa|ln10 6st,Lancaster Inn,Woodhall Spa,LN10 6ST,venue,53.1518516,-0.2141953,google-maps-and-official-address,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=LN10+6ST&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
toby carvery|beckenham br3|br3 3hq,Toby Carvery,Beckenham BR3,BR3 3HQ,venue,51.3898643,-0.0274306,food-standards-agency-fhrs,,,,Toby Carvery - Eden Park Hotel,"Eden Park Hotel 422 Upper Elmers End Road, Beckenham, BR3 3HQ",51.3898643,-0.0274306,https://api.ratings.food.gov.uk/Establishments?address=BR3+3HQ&pageSize=100&pageNumber=1,0.0,,41.1,unique_name_and_postcode_match,2026-09-11
crown tavern|clerkenwell ec1r|ec1r 0eg,Crown Tavern,Clerkenwell EC1R,EC1R 0EG,venue,51.5231701,-0.10524115999999999,openstreetmap-gb-extract,,,,The Crown Tavern,"The Crown Tavern, 43 Clerkenwell Green, London, EC1R 0EG",51.5231808,-0.105241,https://api.ratings.food.gov.uk/Establishments?address=EC1R+0EG&pageSize=100&pageNumber=1,1.2,,8.9,unique_name_and_postcode_match,2026-09-11
h|angel inn|l1 4hy,h,Angel Inn,L1 4HY,venue,53.4027146,-2.9777435,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=L1+4HY&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
rushden historic transport society|rushden|nn10 0aw,Rushden Historic Transport Society,Rushden,NN10 0AW,venue,52.2943013,-0.5980484,google-maps-named-place,,,,,,,,https://api.ratings.food.gov.uk/Establishments?address=NN10+0AW&pageSize=100&pageNumber=1,,,,no_name_match,2026-09-11
martlet inn|langford budville|ta21 0qz,Martlet Inn,Langford Budville,TA21 0QZ,venue,50.99730061176471,-3.268621782352941,openstreetmap-gb-extract,,,,The Martlet Inn,"The Martlet Inn, Langford Budville, Wellington, TA21 0QZ",50.997346,-3.268584,https://api.ratings.food.gov.uk/Establishments?address=TA21+0QZ&pageSize=100&pageNumber=1,5.7,,2.5,unique_name_and_postcode_match,2026-09-11
sheet anchor|baldwins gate|st5 5bu,Sheet Anchor,Baldwins Gate,ST5 5BU,venue,52.960363,-2.303902,food-standards-agency-fhrs,,,,THE BLOCKHOUSE @ THE SHEET ANCHOR,"The Sheet Anchor, Newcastle Road, Whitmore, Newcastle Under Lyme, ST5 5BU",52.960363,-2.303902,https://api.ratings.food.gov.uk/Establishments?address=ST5+5BU&pageSize=100&pageNumber=1,0.0,,2.1,unique_name_and_postcode_match,2026-09-11
butchers arms|bramshall|st14 5bg,Butchers Arms,Bramshall,ST14 5BG,venue,52.8966385,-1.9081603,google-maps-named-place,,,,The Butcher's Arms,"The Butcher's Arms, Stone Road, Bramshall, Uttoxeter, ST14 5BG",52.8974128,-1.9065132,https://api.ratings.food.gov.uk/Establishments?address=ST14+5BG&pageSize=100&pageNumber=1,140.1,,229.4,unique_name_and_postcode_match,2026-09-11
trentside cricket club (pmc)|burton u-t: branston|de14 3dp,Trentside Cricket Club (PMC),Burton U-T: Branston,DE14 3DP,venue,52.7872505187988,-1.65420198440552,food-standards-agency-fhrs,,,,Trentside Cricket Club,"Trentside Cricket Club, Off Faldo Close, Branston, Burton upon Trent, DE14 3DP",52.7872505187988,-1.65420198440552,https://api.ratings.food.gov.uk/Establishments?address=DE14+3DP&pageSize=100&pageNumber=1,0.0,,0.2,unique_name_and_postcode_match,2026-09-11
